text,label
Hi team, just a reminder about our meeting tomorrow at 10am in the conference room. Please bring your project updates.,ham
Thanks for sending over the contract. I've reviewed it and made a few minor changes. See attached.,ham
Can we reschedule our lunch meeting to Thursday? Something came up.,ham
The quarterly report looks great! Great job everyone on the hard work.,ham
Don't forget to submit your timesheets by Friday 5pm.,ham
Happy birthday! Hope you have an amazing day celebrating.,ham
Here are the photos from last weekend's party. It was so much fun!,ham
Congratulations on your new job! You'll be amazing.,ham
See you at the conference next week. Let's grab coffee.,ham
Thanks for your help with the presentation. You're a lifesaver!,ham
Meeting notes from today's discussion are attached. Let me know if I missed anything.,ham
Can you send me the latest version of the design files?,ham
Reminder: Team building event this Friday at 3pm. Don't be late!,ham
Welcome to the team! We're excited to have you aboard.,ham
Please review the attached document and provide feedback by EOD.,ham
Thanks for the birthday wishes! You guys are the best.,ham
Project kickoff meeting is scheduled for Monday at 9am.,ham
Here's the link to join the Zoom call: [zoom link],ham
Don't forget to update your vacation calendar.,ham
Great work on the presentation today! You nailed it.,ham
Can we push the deadline to next week? I need more time.,ham
Thanks for covering for me yesterday. I owe you one!,ham
Meeting room changed to Room 204 for today's session.,ham
Please find attached the signed contract. Let me know if you need anything else.,ham
Happy holidays! Enjoy your time off.,ham
See you at the all-hands meeting at 2pm.,ham
Thanks for the feedback. I'll make those changes right away.,ham
Can you add me to the project Slack channel?,ham
Reminder: Office closed on Monday for public holiday.,ham
Great job on the sales numbers this quarter! Keep it up.,ham
Here's the agenda for tomorrow's meeting. Please review beforehand.,ham
Thanks for the quick response. I appreciate it.,ham
Can you share your screen during the meeting today?,ham
Welcome to the newsletter! You'll receive updates weekly.,ham
Please update your email signature with the new logo.,ham
Thanks for the reminder. I almost forgot about the deadline.,ham
Great to meet you at the conference. Let's stay in touch.,ham
Here's the invoice for last month's services. Payment due in 30 days.,ham
Can you review my pull request when you have a moment?,ham
Thanks for the opportunity to interview. I look forward to hearing from you.,ham
Happy New Year! Wishing you all the best in 2024.,ham
Please let me know if you have any questions about the proposal.,ham
Thanks for your patience while we resolve this issue.,ham
Great presentation at the conference! Very insightful.,ham
Can you send me the contact info for that vendor?,ham
Thanks for the update. Keep me posted on any changes.,ham
Welcome to the team! Your desk is ready in the north wing.,ham
Please remember to mute yourself when not speaking on calls.,ham
Thanks for the kind words. It means a lot.,ham
Can we schedule a 1:1 to discuss my career growth?,ham
You have been selected for a FREE iPhone 15! Click here to claim your prize now.,spam
URGENT: Your account has been suspended. Verify immediately to avoid closure.,spam
Earn $5000 per week working from home! No experience needed.,spam
Hot singles in your area want to meet you tonight. Sign up free!,spam
Viagra 80% OFF! Limited time offer. Discreet shipping.,spam
Congratulations! You've won the lottery. Contact our agent now.,spam
Your Netflix account has been locked. Update payment method.,spam
Make money fast with Bitcoin! Double your investment in 24 hours.,spam
Lose 20 pounds in 2 weeks with this miracle diet!,spam
Your computer has a virus! Download fix now.,spam
Inheritance from long-lost relative. Claim your $2 million.,spam
Replica watches - Rolex, Breitling, Omega. 90% off retail!,spam
You have a package waiting. Confirm delivery address.,spam
PayPal: Your account limited. Restore access now.,spam
Amazon gift card - You're our lucky winner!,spam
Crypto mining investment. Make 10% daily returns!,spam
Your Apple ID has been compromised. Reset password.,spam
Meet Russian brides online. Find your perfect match.,spam
Work one hour a day. Make $1000. No scam.,spam
Your bank account overdrawn. Call immediately.,spam
FREE vacation package! Just pay taxes and fees.,spam
Increase your height naturally. Gain 4 inches.,spam
Stop balding now. Revolutionary new treatment.,spam
Get rich quick with real estate investing. Free webinar.,spam
Your credit card has been charged $499. Call to dispute.,spam
IRS notice: You owe back taxes. Immediate payment required.,spam
Facebook friend request from someone you know?,spam
Your Instagram account will be deleted. Verify now.,spam
Wire transfer received. Click to confirm details.,spam
You're pre-approved for a $50,000 loan. Low interest.,spam
Consolidate your debt. Save thousands. Apply now.,spam
Work from home data entry. Flexible hours.,spam
Mystery shopper needed. Earn free stuff!,spam
Your order has shipped. Track package here.,spam
Dating profile viewed. See who likes you.,spam
Your Microsoft account unusual sign-in. Review activity.,spam
Unlock your iPhone for any carrier. Permanent unlock.,spam
Buy Instagram followers. Get popular fast.,spam
YouTube subscribers cheap. Boost your channel.,spam
Your Twitch stream key leaked. Reset immediately.,spam
Discord nitro free gift card. Claim now.,spam
Steam wallet codes generator. Get free games.,spam
Free robux no human verification. Get now.,spam
TikTok followers generator 2024. Go viral.,spam
Your PayPal payment received. Confirm shipment.,spam
Walmart gift card winner. Click to claim.,spam
Target coupon 90% off everything. Limited time.,spam
Nike shoes cheap replica. Free shipping.,spam
Supreme box logo hoodie replica. High quality.,spam
Gucci bag sale 80% off authentic quality.,spam
Louis Vuitton handbags outlet. Clearance sale.,spam
Canadian pharmacy online. No prescription needed.,spam
Xanax for anxiety. Order discreetly.,spam
Adderall without prescription. Fast shipping.,spam
Oxycontin for sale. Best prices online.,spam
